Category,English,Chinese
object,harry potter,哈利波特
object,titanic,泰坦尼克号
object,kung fu panda,功夫熊猫
object,mulan,木兰
object,sherlock,神探夏洛克
object,avatar,阿凡达
object,schindler's list,辛德勒的名单
object,edward scissorhands,剪刀手爱德华
object,the curious case of benjamin button,本杰明·巴顿奇事
object,mickey mouse,米奇老鼠
object,school,学校
object,classroom,教室
object,textbook,课本
object,homework,作业
object,quiz,测验
object,exam,考试
object,history,历史学
object,geography,地理学
object,ketchup,番茄酱
object,wonton,云吞
object,tofu,豆腐
object,bok choy,小白菜
object,chow mein,炒面
object,dim sum,点心
object,hoisin,海鲜
object,soy,酱油
object,tea,茶
object,food,食物
object,soccer,足球
verb,advise,建议
verb,agree,同意
verb,answer,回答
verb,apologize,道歉
verb,arrive,来到
verb,ask,请求
verb,begin,开始
verb,belong to,属于
verb,boast,自夸
verb,break,打破
verb,call,呼
verb,can,能
verb,catch,抓住
verb,change,改变
verb,choose,选
verb,come down,下来
verb,come in,进来
verb,compare,比较
verb,complain,抱怨
verb,confuse,混淆
verb,continue,继续
verb,control,控制
verb,cook,做饭
verb,count,计算
verb,count on,指望
verb,create,创造
verb,cry,哭
verb,deceive,骗
verb,decorate,装饰
verb,defend,保卫
verb,demand,要求
verb,dig,挖
verb,discuss,讨论
verb,do,做
verb,doubt,怀疑
verb,drop,掉
verb,exist,存在
verb,expect,预见
verb,explains,解释
verb,eat,吃
verb,fall,跌倒
verb,find,找到
verb,finish,结束
verb,fly,飞
verb,follow,跟随
verb,forget,忘
verb,forgive,原谅
verb,give,给
verb,give a hint,暗示
verb,to go,走
verb,to go for a swim,去游泳
verb,go out,走出去
verb,guess,猜
verb,have,有
verb,have breakfast,吃早饭
verb,have lunch,吃午饭
verb,have dinner,吃晚饭
verb,hear,听见
verb,help,帮助
verb,hide,藏
verb,hope,希望
verb,hunt,打猎
verb,hurry,赶紧
verb,inform,通知
verb,insist,坚持
verb,insult,侮辱
verb,invite,邀请
verb,joke,开玩笑
verb,keep,保存
verb,keep silent,沉默
verb,kill,杀死
verb,know,知道
verb,laugh,笑
verb,liberate,解放
verb,like,喜欢
subject,  I, 我
subject, You, 你

